,family,father,mother,midparentHeight,children,childNum,gender,childHeight
1,1,78.5,67,75.43,4,1,male,73.2
2,1,78.5,67,75.43,4,2,female,69.2
3,1,78.5,67,75.43,4,3,female,69
4,1,78.5,67,75.43,4,4,female,69
5,2,75.5,66.5,73.66,4,1,male,73.5
6,2,75.5,66.5,73.66,4,2,male,72.5
7,2,75.5,66.5,73.66,4,3,female,65.5
8,2,75.5,66.5,73.66,4,4,female,65.5
9,3,75,64,72.06,2,1,male,71
10,3,75,64,72.06,2,2,female,68
11,4,75,64,72.06,5,1,male,70.5
12,4,75,64,72.06,5,2,male,68.5
13,4,75,64,72.06,5,3,female,67
14,4,75,64,72.06,5,4,female,64.5
15,4,75,64,72.06,5,5,female,63
16,5,75,58.5,69.09,6,1,male,72
17,5,75,58.5,69.09,6,2,male,69
18,5,75,58.5,69.09,6,3,male,68
19,5,75,58.5,69.09,6,4,female,66.5
20,5,75,58.5,69.09,6,5,female,62.5
21,5,75,58.5,69.09,6,6,female,62.5
22,6,74,68,73.72,1,1,female,69.5
23,7,74,68,73.72,6,1,male,76.5
24,7,74,68,73.72,6,2,male,74
25,7,74,68,73.72,6,3,male,73
26,7,74,68,73.72,6,4,male,73
27,7,74,68,73.72,6,5,female,70.5
28,7,74,68,73.72,6,6,female,64
29,8,74,66.5,72.91,3,1,female,70.5
30,8,74,66.5,72.91,3,2,female,68
31,8,74,66.5,72.91,3,3,female,66
32,9,74.5,66,72.89,1,1,female,66
33,10,74,65.5,72.37,1,1,female,65.5
34,11,74,62,70.48,8,1,male,74
35,11,74,62,70.48,8,2,male,70
36,11,74,62,70.48,8,3,female,68
37,11,74,62,70.48,8,4,female,67
38,11,74,62,70.48,8,5,female,67
39,11,74,62,70.48,8,6,female,66
40,11,74,62,70.48,8,7,female,63.5
41,11,74,62,70.48,8,8,female,63
42,12,74,61,69.94,1,1,female,65
43,13,73,67,72.68,2,1,male,71
44,13,73,67,72.68,2,2,female,62
45,14,73,67,72.68,2,1,male,68
46,14,73,67,72.68,2,2,male,67
47,15,73,66.5,72.41,3,1,male,71
48,15,73,66.5,72.41,3,2,male,70.5
49,15,73,66.5,72.41,3,3,female,66.7
50,16,73,65,71.6,9,1,male,72
51,16,73,65,71.6,9,2,male,70.5
52,16,73,65,71.6,9,3,male,70.2
53,16,73,65,71.6,9,4,male,70.2
54,16,73,65,71.6,9,5,male,69.2
55,16,73,65,71.6,9,6,female,68.7
56,16,73,65,71.6,9,7,female,66.5
57,16,73,65,71.6,9,8,female,64.5
58,16,73,65,71.6,9,9,female,63.5
59,17,73,64.5,71.33,6,1,male,74
60,17,73,64.5,71.33,6,2,male,73
61,17,73,64.5,71.33,6,3,male,71.5
62,17,73,64.5,71.33,6,4,male,62.5
63,17,73,64.5,71.33,6,5,female,66.5
64,17,73,64.5,71.33,6,6,female,62.3
65,18,73,64,71.06,3,1,female,66
66,18,73,64,71.06,3,2,female,64.5
67,18,73,64,71.06,3,3,female,64
68,19,73.2,63,70.62,1,1,female,62.7
69,20,72.7,69,73.61,8,1,male,73.2
70,20,72.7,69,73.61,8,2,male,73
71,20,72.7,69,73.61,8,3,male,72.7
72,20,72.7,69,73.61,8,4,female,70
73,20,72.7,69,73.61,8,5,female,69
74,20,72.7,69,73.61,8,6,female,68.5
75,20,72.7,69,73.61,8,7,female,68
76,20,72.7,69,73.61,8,8,female,66
77,21,72,68,72.72,3,1,male,73
78,21,72,68,72.72,3,2,female,68.5
79,21,72,68,72.72,3,3,female,68
80,22,72,67,72.18,3,1,male,73
81,22,72,67,72.18,3,2,male,71
82,22,72,67,72.18,3,3,female,67
83,23,72,65,71.1,7,1,male,74.2
84,23,72,65,71.1,7,2,male,70.5
85,23,72,65,71.1,7,3,male,69.5
86,23,72,65,71.1,7,4,female,66
87,23,72,65,71.1,7,5,female,65.5
88,23,72,65,71.1,7,6,female,65
89,23,72,65,71.1,7,7,female,65
90,24,72,65.5,71.37,1,1,female,65.5
91,25,72,64,70.56,2,1,female,66
92,25,72,64,70.56,2,2,female,63
93,26,72,63,70.02,5,1,male,70.5
94,26,72,63,70.02,5,2,male,70.5
95,26,72,63,70.02,5,3,male,69
96,26,72,63,70.02,5,4,female,65
97,26,72,63,70.02,5,5,female,63
98,27,72,63,70.02,3,1,male,69
99,27,72,63,70.02,3,2,male,67
100,27,72,63,70.02,3,3,female,63
101,28,72,63,70.02,6,1,male,73
102,28,72,63,70.02,6,2,male,67
103,28,72,63,70.02,6,3,female,70.5
104,28,72,63,70.02,6,4,female,70
105,28,72,63,70.02,6,5,female,66.5
106,28,72,63,70.02,6,6,female,63
107,29,72.5,63.5,70.54,3,1,female,67.5
108,29,72.5,63.5,70.54,3,2,female,67.2
109,29,72.5,63.5,70.54,3,3,female,66.7
110,30,72,62,69.48,1,1,female,64
111,31,72.5,62,69.73,6,1,male,71
112,31,72.5,62,69.73,6,2,male,70
113,31,72.5,62,69.73,6,3,male,70
114,31,72.5,62,69.73,6,4,female,66
115,31,72.5,62,69.73,6,5,female,65
116,31,72.5,62,69.73,6,6,female,65
117,32,72,62,69.48,5,1,male,74
118,32,72,62,69.48,5,2,male,72
119,32,72,62,69.48,5,3,male,69
120,32,72,62,69.48,5,4,female,67.5
121,32,72,62,69.48,5,5,female,63.5
122,33,72,62,69.48,5,1,male,72
123,33,72,62,69.48,5,2,male,71.5
124,33,72,62,69.48,5,3,male,71.5
125,33,72,62,69.48,5,4,male,70
126,33,72,62,69.48,5,5,female,68
127,34,72,61,68.94,1,1,female,65.7
128,35,71,69,72.76,5,1,male,78
129,35,71,69,72.76,5,2,male,74
130,35,71,69,72.76,5,3,male,73
131,35,71,69,72.76,5,4,male,72
132,35,71,69,72.76,5,5,female,67
133,36,71,67,71.68,4,1,male,73.2
134,36,71,67,71.68,4,2,male,73
135,36,71,67,71.68,4,3,male,69
136,36,71,67,71.68,4,4,female,67
137,37,71,66,71.14,4,1,male,70
138,37,71,66,71.14,4,2,female,67
139,37,71,66,71.14,4,3,female,67
140,37,71,66,71.14,4,4,female,66.5
141,38,71,66,71.14,6,1,male,70
142,38,71,66,71.14,6,2,male,69
143,38,71,66,71.14,6,3,male,68.5
144,38,71,66,71.14,6,4,female,66
145,38,71,66,71.14,6,5,female,64.5
146,38,71,66,71.14,6,6,female,63
147,39,71,66,71.14,2,1,male,71
148,39,71,66,71.14,2,2,female,67
149,40,71,66,71.14,5,1,male,76
150,40,71,66,71.14,5,2,male,72
151,40,71,66,71.14,5,3,male,71
152,40,71,66,71.14,5,4,male,66
153,40,71,66,71.14,5,5,female,66
154,41,71.7,65.5,71.22,1,1,male,70.5
155,42,71,65.5,70.87,6,1,male,72
156,42,71,65.5,70.87,6,2,male,72
157,42,71,65.5,70.87,6,3,male,71
158,42,71,65.5,70.87,6,4,male,69
159,42,71,65.5,70.87,6,5,female,66
160,42,71,65.5,70.87,6,6,female,65
161,43,71.5,65.5,71.12,2,1,male,73
162,43,71.5,65.5,71.12,2,2,female,65.2
163,44,71.5,65,70.85,2,1,male,68.5
164,44,71.5,65,70.85,2,2,male,67.7
165,45,71,65,70.6,3,1,male,68
166,45,71,65,70.6,3,2,male,68
167,45,71,65,70.6,3,3,female,62
168,46,71,64,70.06,8,1,female,68
169,46,71,64,70.06,8,2,female,68
170,46,71,64,70.06,8,3,female,67.5
171,46,71,64,70.06,8,4,female,66.5
172,46,71,64,70.06,8,5,female,66.5
173,46,71,64,70.06,8,6,female,66
174,46,71,64,70.06,8,7,female,65.5
175,46,71,64,70.06,8,8,female,65
176,47,71.7,64.5,70.68,4,1,male,72
177,47,71.7,64.5,70.68,4,2,male,71
178,47,71.7,64.5,70.68,4,3,male,70.5
179,47,71.7,64.5,70.68,4,4,female,67
180,48,71,64,70.06,3,1,male,68
181,48,71,64,70.06,3,2,male,68
182,48,71,64,70.06,3,3,male,68
183,49,71.5,64.5,70.58,7,1,male,72
184,49,71.5,64.5,70.58,7,2,male,71
185,49,71.5,64.5,70.58,7,3,male,70
186,49,71.5,64.5,70.58,7,4,female,66
187,49,71.5,64.5,70.58,7,5,female,64.5
188,49,71.5,64.5,70.58,7,6,female,64.5
189,49,71.5,64.5,70.58,7,7,female,62
190,50,71,64.5,70.33,2,1,male,73
191,50,71,64.5,70.33,2,2,female,62
192,51,71.2,63,69.62,2,1,female,67.5
193,51,71.2,63,69.62,2,2,female,64.5
194,52,71,63.5,69.79,5,1,male,71
195,52,71,63.5,69.79,5,2,male,67
196,52,71,63.5,69.79,5,3,female,66
197,52,71,63.5,69.79,5,4,female,65
198,52,71,63.5,69.79,5,5,female,63.5
199,53,71,63,69.52,9,1,male,71
200,53,71,63,69.52,9,2,male,70
201,53,71,63,69.52,9,3,male,70
202,53,71,63,69.52,9,4,male,64
203,53,71,63,69.52,9,5,female,65
204,53,71,63,69.52,9,6,female,65
205,53,71,63,69.52,9,7,female,64
206,53,71,63,69.52,9,8,female,63
207,53,71,63,69.52,9,9,female,63
208,54,71,63,69.52,4,1,male,71
209,54,71,63,69.52,4,2,male,71
210,54,71,63,69.52,4,3,male,70
211,54,71,63,69.52,4,4,female,63.5
212,55,71,62,68.98,5,1,male,71
213,55,71,62,68.98,5,2,male,70
214,55,71,62,68.98,5,3,female,64.5
215,55,71,62,68.98,5,4,female,62.5
216,55,71,62,68.98,5,5,female,61.5
217,56,71,62,68.98,5,1,male,72
218,56,71,62,68.98,5,2,male,70.5
219,56,71,62,68.98,5,3,male,70.5
220,56,71,62,68.98,5,4,female,64.5
221,56,71,62,68.98,5,5,female,60
222,57,71,62.5,69.25,5,1,male,70
223,57,71,62.5,69.25,5,2,female,64
224,57,71,62.5,69.25,5,3,female,64
225,57,71,62.5,69.25,5,4,female,64
226,57,71,62.5,69.25,5,5,female,62.5
227,58,71,62,68.98,7,1,male,70.5
228,58,71,62,68.98,7,2,male,70
229,58,71,62,68.98,7,3,male,69
230,58,71,62,68.98,7,4,male,69
231,58,71,62,68.98,7,5,male,66
232,58,71,62,68.98,7,6,female,64.5
233,58,71,62,68.98,7,7,female,64
234,59,71,61,68.44,1,1,female,62
235,60,71,58,66.82,2,1,male,71.5
236,60,71,58,66.82,2,2,male,69
237,61,70,69,72.26,4,1,male,71
238,61,70,69,72.26,4,2,male,70
239,61,70,69,72.26,4,3,male,69
240,61,70,69,72.26,4,4,female,69
241,62,70,69,72.26,6,1,male,70
242,62,70,69,72.26,6,2,male,68.7
243,62,70,69,72.26,6,3,female,68
244,62,70,69,72.26,6,4,female,66
245,62,70,69,72.26,6,5,female,64
246,62,70,69,72.26,6,6,female,62
247,63,70,68,71.72,1,1,male,75
248,64,70,67,71.18,5,1,male,70
249,64,70,67,71.18,5,2,male,69
250,64,70,67,71.18,5,3,female,66
251,64,70,67,71.18,5,4,female,64
252,64,70,67,71.18,5,5,female,60
253,65,70,67,71.18,1,1,female,67.5
254,66,70,66.5,70.91,11,1,male,73
255,66,70,66.5,70.91,11,2,male,72
256,66,70,66.5,70.91,11,3,male,72
257,66,70,66.5,70.91,11,4,male,66.5
258,66,70,66.5,70.91,11,5,female,69.2
259,66,70,66.5,70.91,11,6,female,67.2
260,66,70,66.5,70.91,11,7,female,66.5
261,66,70,66.5,70.91,11,8,female,66
262,66,70,66.5,70.91,11,9,female,66
263,66,70,66.5,70.91,11,10,female,64.2
264,66,70,66.5,70.91,11,11,female,63.7
265,67,70.5,65,70.35,4,1,male,72
266,67,70.5,65,70.35,4,2,male,70.2
267,67,70.5,65,70.35,4,3,male,69
268,67,70.5,65,70.35,4,4,male,68.5
269,68,70.5,65,70.35,5,1,female,68
270,68,70.5,65,70.35,5,2,female,65
271,68,70.5,65,70.35,5,3,female,61.5
272,68,70.5,65,70.35,5,4,female,61
273,68,70.5,65,70.35,5,5,female,61
274,69,70,65,70.1,8,1,male,73
275,69,70,65,70.1,8,2,male,72
276,69,70,65,70.1,8,3,male,70.5
277,69,70,65,70.1,8,4,male,65
278,69,70,65,70.1,8,5,male,65
279,69,70,65,70.1,8,6,female,64.5
280,69,70,65,70.1,8,7,female,63
281,69,70,65,70.1,8,8,female,62
282,70,70,65,70.1,5,1,male,67
283,70,70,65,70.1,5,2,male,65
284,70,70,65,70.1,5,3,female,64.5
285,70,70,65,70.1,5,4,female,62.5
286,70,70,65,70.1,5,5,female,62.5
287,71,70,65,70.1,6,1,male,70
288,71,70,65,70.1,6,2,male,70
289,71,70,65,70.1,6,3,female,67
290,71,70,65,70.1,6,4,female,65
291,71,70,65,70.1,6,5,female,65
292,71,70,65,70.1,6,6,female,63
293,72,70,65,70.1,7,1,male,79
294,72,70,65,70.1,7,2,male,75
295,72,70,65,70.1,7,3,male,71
296,72,70,65,70.1,7,4,female,69
297,72,70,65,70.1,7,5,female,67
298,72,70,65,70.1,7,6,female,65.7
299,72,70,65,70.1,7,7,female,62
300,73,70,65,70.1,3,1,male,73
301,73,70,65,70.1,3,2,male,72.5
302,73,70,65,70.1,3,3,female,65
303,74,70,65,70.1,2,1,male,69
304,74,70,65,70.1,2,2,male,69
305,75,70,64.7,69.938,7,1,male,72
306,75,70,64.7,69.938,7,2,male,70
307,75,70,64.7,69.938,7,3,male,68.7
308,75,70,64.7,69.938,7,4,female,66.5
309,75,70,64.7,69.938,7,5,female,65.5
310,75,70,64.7,69.938,7,6,female,64.7
311,75,70,64.7,69.938,7,7,female,64.5
312,76,70,64,69.56,7,1,male,70.7
313,76,70,64,69.56,7,2,male,70
314,76,70,64,69.56,7,3,male,68
315,76,70,64,69.56,7,4,male,67
316,76,70,64,69.56,7,5,male,66
317,76,70,64,69.56,7,6,male,65
318,76,70,64,69.56,7,7,female,67
319,77,70,64,69.56,4,1,male,70
320,77,70,64,69.56,4,2,male,68
321,77,70,64,69.56,4,3,male,66.7
322,77,70,64,69.56,4,4,female,65.5
323,78,70,64.2,69.668,5,1,male,72
324,78,70,64.2,69.668,5,2,male,70
325,78,70,64.2,69.668,5,3,female,62.5
326,78,70,64.2,69.668,5,4,female,61.2
327,78,70,64.2,69.668,5,5,female,60.1
328,79,70.5,64,69.81,8,1,male,74
329,79,70.5,64,69.81,8,2,male,69.5
330,79,70.5,64,69.81,8,3,male,69
331,79,70.5,64,69.81,8,4,male,68
332,79,70.5,64,69.81,8,5,male,68
333,79,70.5,64,69.81,8,6,male,68
334,79,70.5,64,69.81,8,7,female,65.5
335,79,70.5,64,69.81,8,8,female,65
336,80,70.5,64.5,70.08,1,1,female,60
337,81,70,64,69.56,4,1,male,68
338,81,70,64,69.56,4,2,female,65
339,81,70,64,69.56,4,3,female,64
340,81,70,64,69.56,4,4,female,62
341,82,70,64,69.56,9,1,male,71
342,82,70,64,69.56,9,2,male,70
343,82,70,64,69.56,9,3,male,70
344,82,70,64,69.56,9,4,male,70
345,82,70,64,69.56,9,5,male,69.5
346,82,70,64,69.56,9,6,male,68.5
347,82,70,64,69.56,9,7,female,69
348,82,70,64,69.56,9,8,female,65
349,82,70,64,69.56,9,9,female,64
350,83,70,63.7,69.398,8,1,male,70
351,83,70,63.7,69.398,8,2,male,67
352,83,70,63.7,69.398,8,3,male,65.5
353,83,70,63.7,69.398,8,4,female,63.7
354,83,70,63.7,69.398,8,5,female,63.2
355,83,70,63.7,69.398,8,6,female,62.5
356,83,70,63.7,69.398,8,7,female,62.2
357,83,70,63.7,69.398,8,8,female,61
358,84,70.5,63,69.27,4,1,male,70
359,84,70.5,63,69.27,4,2,male,68.5
360,84,70.5,63,69.27,4,3,female,65.5
361,84,70.5,63,69.27,4,4,female,63.5
362,85,70.5,63,69.27,5,1,male,72.5
363,85,70.5,63,69.27,5,2,male,69
364,85,70.5,63,69.27,5,3,male,67
365,85,70.5,63,69.27,5,4,female,64.5
366,85,70.5,63,69.27,5,5,female,64
367,86,70,63.5,69.29,4,1,male,71
368,86,70,63.5,69.29,4,2,male,67.5
369,86,70,63.5,69.29,4,3,female,67.5
370,86,70,63.5,69.29,4,4,female,63.5
371,87,70,63,69.02,4,1,male,68
372,87,70,63,69.02,4,2,male,67
373,87,70,63,69.02,4,3,female,63.7
374,87,70,63,69.02,4,4,female,62
375,88,70,63,69.02,4,1,male,70
376,88,70,63,69.02,4,2,male,66.5
377,88,70,63,69.02,4,3,female,62
378,88,70,63,69.02,4,4,female,61
379,89,70.5,62,68.73,8,1,male,72
380,89,70.5,62,68.73,8,2,male,70
381,89,70.5,62,68.73,8,3,male,69.5
382,89,70.5,62,68.73,8,4,male,69.5
383,89,70.5,62,68.73,8,5,male,68
384,89,70.5,62,68.73,8,6,female,65
385,89,70.5,62,68.73,8,7,female,64
386,89,70.5,62,68.73,8,8,female,63
387,90,70.3,62.7,69.008,7,1,male,70.7
388,90,70.3,62.7,69.008,7,2,male,69.7
389,90,70.3,62.7,69.008,7,3,male,69.2
390,90,70.3,62.7,69.008,7,4,male,65.2
391,90,70.3,62.7,69.008,7,5,female,64
392,90,70.3,62.7,69.008,7,6,female,63.5
393,90,70.3,62.7,69.008,7,7,female,63.2
394,91,70.5,62,68.73,3,1,male,72
395,91,70.5,62,68.73,3,2,male,72
396,91,70.5,62,68.73,3,3,female,60
397,92,70,61,67.94,2,1,male,71.2
398,92,70,61,67.94,2,2,male,67
399,93,70,60,67.4,4,1,male,67
400,93,70,60,67.4,4,2,male,64.5
401,93,70,60,67.4,4,3,female,65
402,93,70,60,67.4,4,4,female,63
403,94,70,60,67.4,2,1,female,65
404,94,70,60,67.4,2,2,female,65
405,95,70,58.5,66.59,3,1,male,71.5
406,95,70,58.5,66.59,3,2,male,64.5
407,95,70,58.5,66.59,3,3,female,63
408,96,70,58,66.32,5,1,male,72
409,96,70,58,66.32,5,2,male,66
410,96,70,58,66.32,5,3,female,66
411,96,70,58,66.32,5,4,female,65
412,96,70,58,66.32,5,5,female,63
413,97,69,68.5,71.49,10,1,male,75
414,97,69,68.5,71.49,10,2,male,71
415,97,69,68.5,71.49,10,3,male,70
416,97,69,68.5,71.49,10,4,female,66
417,97,69,68.5,71.49,10,5,female,66
418,97,69,68.5,71.49,10,6,female,65.5
419,97,69,68.5,71.49,10,7,female,65
420,97,69,68.5,71.49,10,8,female,65
421,97,69,68.5,71.49,10,9,female,64
422,97,69,68.5,71.49,10,10,female,64
423,98,69,67,70.68,1,1,female,64
424,99,69,66,70.14,8,1,male,73
425,99,69,66,70.14,8,2,male,72
426,99,69,66,70.14,8,3,male,71.7
427,99,69,66,70.14,8,4,male,71.5
428,99,69,66,70.14,8,5,female,65.5
429,99,69,66,70.14,8,6,female,65
430,99,69,66,70.14,8,7,female,62.7
431,99,69,66,70.14,8,8,female,62.5
432,100,69,66,70.14,3,1,male,71.2
433,100,69,66,70.14,3,2,male,71
434,100,69,66,70.14,3,3,male,70
435,101,69,66.7,70.518,4,1,male,75
436,101,69,66.7,70.518,4,2,male,74
437,101,69,66.7,70.518,4,3,male,72
438,101,69,66.7,70.518,4,4,male,68.5
439,102,69,66,70.14,6,1,male,70
440,102,69,66,70.14,6,2,male,68.5
441,102,69,66,70.14,6,3,male,68
442,102,69,66,70.14,6,4,female,65
443,102,69,66,70.14,6,5,female,63
444,102,69,66,70.14,6,6,female,62.5
445,103,69,66.5,70.41,7,1,male,73
446,103,69,66.5,70.41,7,2,male,71
447,103,69,66.5,70.41,7,3,male,70.5
448,103,69,66.5,70.41,7,4,male,70.5
449,103,69,66.5,70.41,7,5,male,67
450,103,69,66.5,70.41,7,6,male,66
451,103,69,66.5,70.41,7,7,female,61
452,104,69.5,66.5,70.66,4,1,male,70.5
453,104,69.5,66.5,70.66,4,2,male,67.5
454,104,69.5,66.5,70.66,4,3,female,64.5
455,104,69.5,66.5,70.66,4,4,female,64
456,105,69,66.5,70.41,6,1,male,71
457,105,69,66.5,70.41,6,2,female,68.5
458,105,69,66.5,70.41,6,3,female,67.5
459,105,69,66.5,70.41,6,4,female,66
460,105,69,66.5,70.41,6,5,female,63
461,105,69,66.5,70.41,6,6,female,63
462,106,69.5,66,70.39,7,1,male,71
463,106,69.5,66,70.39,7,2,male,71
464,106,69.5,66,70.39,7,3,male,70.5
465,106,69.5,66,70.39,7,4,male,70.5
466,106,69.5,66,70.39,7,5,female,66.5
467,106,69.5,66,70.39,7,6,female,65.5
468,106,69.5,66,70.39,7,7,female,64.5
469,107,69,66,70.14,9,1,male,73
470,107,69,66,70.14,9,2,male,72
471,107,69,66,70.14,9,3,male,69
472,107,69,66,70.14,9,4,male,69
473,107,69,66,70.14,9,5,female,66.5
