Year,Month,Cotagecheese.Prod,Icecream.Prod,Milk.Prod,N.CA.Fat.Price,Month.Count,monthNumSqred,monthNumCubed
1995,Jan,4.37,51.595,2.112,0.9803,1,1,1
1995,Feb,3.695,56.086,1.932,0.8924,2,4,8
1995,Mar,4.538,68.453,2.162,0.8924,3,9,27
1995,Apr,4.28,65.722,2.13,0.8967,4,16,64
1995,May,4.47,73.73,2.227,0.8967,5,25,125
1995,Jun,4.238,77.994,2.124,0.916,6,36,216
1995,Jul,4.377,81.475,2.184,0.916,7,49,343
1995,Aug,4.368,74.981,2.152,0.8934,8,64,512
1995,Sep,3.917,61.53,2.062,0.8934,9,81,729
1995,Oct,4.078,60.022,2.121,0.9434,10,100,1000
1995,Nov,3.611,52.772,2.03,0.9434,11,121,1331
1995,Dec,3.591,50.85,2.091,1.0811,12,144,1728
1996,Jan,3.698,53.116,2.109,1.0811,13,169,2197
1996,Feb,3.429,57.463,1.996,1.1022,14,196,2744
1996,Mar,3.717,68.929,2.173,1.1022,15,225,3375
1996,Apr,3.688,69.673,2.163,1.048,16,256,4096
1996,May,3.897,77.387,2.233,1.048,17,289,4913
1996,Jun,3.756,86.814,2.142,1.073,18,324,5832
1996,Jul,4.099,83.006,2.182,1.073,19,361,6859
1996,Aug,3.979,79.26,2.129,1.2333,20,400,8000
1996,Sep,3.73,69.216,2.138,1.2333,21,441,9261
1996,Oct,4.214,64.556,2.215,1.372,22,484,10648
1996,Nov,4.418,54.378,2.156,1.372,23,529,12167
1996,Dec,3.323,53.291,2.212,1.3974,24,576,13824
1997,Jan,3.761,55.565,2.177,1.3974,25,625,15625
1997,Feb,3.404,58.962,2.028,1.0004,26,676,17576
1997,Mar,3.552,72.866,2.361,1.0004,27,729,19683
1997,Apr,3.489,74.965,2.358,1.0004,28,784,21952
1997,May,3.398,75.425,2.417,1.0004,29,841,24389
1997,Jun,3.67,85.133,2.314,1.0247,30,900,27000
1997,Jul,3.697,83.144,2.386,1.0247,31,961,29791
1997,Aug,3.633,75.258,2.366,0.9407,32,1024,32768
1997,Sep,3.433,70.23,2.258,0.9407,33,1089,35937
1997,Oct,3.313,61.385,2.351,1.1614,34,1156,39304
1997,Nov,2.982,53.516,2.263,1.1614,35,1225,42875
1997,Dec,2.947,55.289,2.303,1.2054,36,1296,46656
1998,Jan,3.069,51.239,2.341,1.2054,37,1369,50653
1998,Feb,2.519,61.373,2.081,1.2463,38,1444,54872
1998,Mar,3.015,73.202,2.344,1.2463,39,1521,59319
1998,Apr,2.971,72.327,2.314,1.2435,40,1600,64000
1998,May,2.876,74.358,2.432,1.2435,41,1681,68921
1998,Jun,2.853,86.093,2.317,1.0849,42,1764,74088
1998,Jul,3.098,85.398,2.309,1.0849,43,1849,79507
1998,Aug,3.007,80.306,2.271,1.3208,44,1936,85184
1998,Sep,2.843,70.906,2.185,1.3208,45,2025,91125
1998,Oct,2.909,59.909,2.363,1.5216,46,2116,97336
1998,Nov,2.931,55.138,2.283,1.5216,47,2209,103823
1998,Dec,2.597,55.748,2.38,1.7015,48,2304,110592
1999,Jan,2.628,54.842,2.439,1.7015,49,2401,117649
1999,Feb,2.496,62.058,2.245,1.7723,50,2500,125000
1999,Mar,3.093,76.594,2.605,1.7723,51,2601,132651
1999,Apr,2.801,75.76,2.575,1.1089,52,2704,140608
1999,May,2.702,77.564,2.659,1.1089,53,2809,148877
1999,Jun,2.813,86.014,2.503,1.1261,54,2916,157464
1999,Jul,2.853,82.94,2.51,1.1261,55,3025,166375
1999,Aug,3.018,82.679,2.602,1.1817,56,3136,175616
1999,Sep,2.85,66.571,2.517,1.1817,57,3249,185193
1999,Oct,2.692,59.571,2.605,1.7391,58,3364,195112
1999,Nov,2.437,57.466,2.542,1.7391,59,3481,205379
1999,Dec,2.363,53.597,2.642,1.1729,60,3600,216000
2000,Jan,2.574,58.263,2.71,1.1136,61,3721,226981
2000,Feb,2.409,60.9,2.558,0.9186,62,3844,238328
2000,Mar,2.875,74.14,2.741,0.9109,63,3969,250047
2000,Apr,2.46,72.652,2.733,1.053,64,4096,262144
2000,May,2.667,76.877,2.797,1.1995,65,4225,274625
2000,Jun,2.644,85.091,2.673,1.2647,66,4356,287496
2000,Jul,2.514,82.104,2.783,1.4885,67,4489,300763
2000,Aug,2.767,82.661,2.68,1.3285,68,4624,314432
2000,Sep,2.572,65.038,2.597,1.2965,69,4761,328509
2000,Oct,2.675,62.875,2.684,1.2966,70,4900,343000
2000,Nov,2.526,54.745,2.586,1.2685,71,5041,357911
2000,Dec,2.318,47.127,2.703,1.5043,72,5184,373248
2001,Jan,2.507,56.419,2.751,2.01,73,5329,389017
2001,Feb,2.535,62.337,2.529,1.28,74,5476,405224
2001,Mar,2.514,68.258,2.81,1.461,75,5625,421875
2001,Apr,2.742,74.011,2.788,1.6835,76,5776,438976
2001,May,2.961,79.862,2.885,1.896,77,5929,456533
2001,Jun,2.865,85.562,2.783,2.105,78,6084,474552
2001,Jul,2.939,86.931,2.816,2.2002,79,6241,493039
2001,Aug,3.002,77.49,2.817,2.2416,80,6400,512000
2001,Sep,2.804,67.962,2.707,2.268,81,6561,531441
2001,Oct,2.855,62.395,2.804,2.5285,82,6724,551368
2001,Nov,2.38,50.905,2.718,1.8415,83,6889,571787
2001,Dec,2.461,53.106,2.809,1.431,84,7056,592704
2002,Jan,2.641,60.822,2.85,1.425,85,7225,614125
2002,Feb,2.462,64.592,2.646,1.498,86,7396,636056
2002,Mar,2.586,73.945,2.997,1.395,87,7569,658503
2002,Apr,2.587,77.569,2.948,1.392,88,7744,681472
2002,May,2.758,81.294,3.087,1.329,89,7921,704969
2002,Jun,2.673,86.244,2.979,1.1654,90,8100,729000
2002,Jul,2.738,86.596,2.998,1.1792,91,8281,753571
2002,Aug,2.838,77.673,3.006,1.1237,92,8464,778688
2002,Sep,2.72,68.668,2.834,1.1234,93,8649,804357
2002,Oct,2.788,67.552,2.945,1.0202,94,8836,830584
2002,Nov,2.834,54.669,2.824,1.0772,95,9025,857375
2002,Dec,2.565,54.455,2.951,1.1072,96,9216,884736
2003,Jan,2.534,60.779,2.993,1.2165,97,9409,912673
2003,Feb,2.452,67.236,2.774,1.2292,98,9604,941192
2003,Mar,2.916,78.355,3.11,1.1525,99,9801,970299
2003,Apr,2.65,81.5,3.033,1.1692,100,10000,1000000
2003,May,2.808,80.676,3.092,1.1929,101,10201,1030301
2003,Jun,2.823,89.052,2.972,1.1897,102,10404,1061208
2003,Jul,3.023,86.776,2.966,1.2052,103,10609,1092727
2003,Aug,2.848,77.139,2.971,1.2531,104,10816,1124864
2003,Sep,2.922,72.886,2.831,1.3447,105,11025,1157625
2003,Oct,2.874,64.913,2.921,1.2577,106,11236,1191016
2003,Nov,2.625,51.466,2.821,1.3034,107,11449,1225043
2003,Dec,2.772,55.504,2.953,1.3167,108,11664,1259712
2004,Jan,2.611,60.51,2.994,1.3887,109,11881,1295029
2004,Feb,2.533,64.807,2.858,1.5003,110,12100,1331000
2004,Mar,3.163,77.146,3.104,1.7705,111,12321,1367631
2004,Apr,2.92,77.889,3.072,2.3132,112,12544,1404928
2004,May,2.754,77.391,3.148,2.3887,113,12769,1442897
2004,Jun,3.104,90.472,3.026,2.4605,114,12996,1481544
2004,Jul,2.95,87.15,3.078,2.1167,115,13225,1520875
2004,Aug,2.993,82.229,3.076,2.1345,116,13456,1560896
2004,Sep,2.874,72.581,2.979,1.7929,117,13689,1601613
2004,Oct,2.942,62.312,3.08,1.9187,118,13924,1643032
2004,Nov,2.734,59.077,2.96,1.9717,119,14161,1685159
2004,Dec,2.487,56.874,3.09,1.9099,120,14400,1728000
2005,Jan,2.821,61.187,3.078,2.2367,121,14641,1771561
2005,Feb,2.793,70.834,2.848,1.7667,122,14884,1815848
2005,Mar,2.972,83.151,3.226,1.807,123,15129,1860867
2005,Apr,2.708,80.169,3.188,1.7313,124,15376,1906624
2005,May,2.95,84.102,3.292,1.7527,125,15625,1953125
2005,Jun,3.036,88.184,3.182,1.5437,126,15876,2000376
2005,Jul,2.659,83.695,3.126,1.6052,127,16129,2048383
2005,Aug,2.994,80.309,3.157,1.9011,128,16384,2097152
2005,Sep,2.745,68.791,3.084,1.8605,129,16641,2146689
2005,Oct,2.785,70.63,3.151,1.9247,130,16900,2197000
2005,Nov,2.603,57.228,3.053,1.8649,131,17161,2248091
2005,Dec,2.43,53.824,3.179,1.6802,132,17424,2299968
2006,Jan,2.571,67.522,3.241,1.5417,133,17689,2352637
2006,Feb,2.502,67.686,3.042,1.5382,134,17956,2406104
2006,Mar,2.658,77.21,3.428,1.3735,135,18225,2460375
2006,Apr,2.555,78.595,3.309,1.2961,136,18496,2515456
2006,May,3.024,80.606,3.383,1.2745,137,18769,2571353
2006,Jun,2.565,84.793,3.206,1.3,138,19044,2628072
2006,Jul,2.951,82.154,3.122,1.2933,139,19321,2685619
2006,Aug,2.836,79.953,3.292,1.2667,140,19600,2744000
2006,Sep,2.513,70.26,3.147,1.3873,141,19881,2803221
2006,Oct,2.777,67.701,3.227,1.503,142,20164,2863288
2006,Nov,2.481,59.216,3.136,1.4567,143,20449,2924207
2006,Dec,2.257,54.59,3.297,1.4236,144,20736,2985984
2007,Jan,2.658,70.189,3.369,1.3914,145,21025,3048625
2007,Feb,2.323,69.71,3.15,1.3002,146,21316,3112136
2007,Mar,2.572,76.055,3.553,1.3412,147,21609,3176523
2007,Apr,2.595,80.911,3.449,1.4122,148,21904,3241792
2007,May,2.743,78.275,3.477,1.4626,149,22201,3307949
2007,Jun,2.468,81.322,3.341,1.5815,150,22500,3375000
2007,Jul,2.881,83.614,3.45,1.7051,151,22801,3442951
2007,Aug,2.71,78.457,3.456,1.6344,152,23104,3511808
2007,Sep,2.649,70.449,3.252,1.66,153,23409,3581577
2007,Oct,2.821,71.2,3.415,1.5684,154,23716,3652264
2007,Nov,2.227,57.893,3.312,1.4375,155,24025,3723875
2007,Dec,2.439,54.413,3.459,1.449,156,24336,3796416
2008,Jan,2.641,69.008,3.492,1.4645,157,24649,3869893
2008,Feb,2.477,69.967,3.33,1.3452,158,24964,3944312
2008,Mar,2.5,74.936,3.638,1.3252,159,25281,4019679
2008,Apr,2.598,80.988,3.515,1.3948,160,25600,4096000
2008,May,2.622,80.207,3.583,1.4999,161,25921,4173281
2008,Jun,2.641,84.551,3.417,1.5894,162,26244,4251528
2008,Jul,2.794,83.579,3.417,1.6368,163,26569,4330747
2008,Aug,2.557,76.614,3.397,1.7086,164,26896,4410944
2008,Sep,2.72,72.712,3.275,1.7776,165,27225,4492125
2008,Oct,2.806,69.345,3.386,1.8296,166,27556,4574296
2008,Nov,2.409,58.552,3.312,1.9342,167,27889,4657463
2008,Dec,2.523,54.955,3.441,1.8733,168,28224,4741632
2009,Jan,2.542,60.122,3.453,1.3949,169,28561,4826809
2009,Feb,2.512,64.406,3.139,1.1952,170,28900,4913000
2009,Mar,3.044,78.6,3.505,1.1632,171,29241,5000211
2009,Apr,2.646,77.034,3.433,1.2335,172,29584,5088448
2009,May,2.586,74.477,3.512,1.2666,173,29929,5177717
2009,Jun,2.733,85.427,3.283,1.3198,174,30276,5268024
2009,Jul,2.811,78.088,3.249,1.3482,175,30625,5359375
2009,Aug,2.785,73.867,3.243,1.278,176,30976,5451776
2009,Sep,2.627,71.086,3.069,1.3319,177,31329,5545233
2009,Oct,2.581,68.319,3.207,1.246,178,31684,5639752
2009,Nov,2.373,59.305,3.133,1.3308,179,32041,5735339
2009,Dec,2.283,55.364,3.286,1.5457,180,32400,5832000
2010,Jan,2.508,62.344,3.37,1.6077,181,32761,5929741
2010,Feb,2.471,66.218,3.089,1.4421,182,33124,6028568
2010,Mar,2.758,79.505,3.481,1.4592,183,33489,6128487
2010,Apr,2.544,78.544,3.431,1.5766,184,33856,6229504
2010,May,2.568,79.1,3.545,1.6354,185,34225,6331625
2010,Jun,2.903,92.306,3.394,1.7633,186,34596,6434856
2010,Jul,2.492,88.03,3.401,1.7275,187,34969,6539203
2010,Aug,2.965,90.306,3.401,1.9358,188,35344,6644672
2010,Sep,2.691,73.551,3.294,2.0437,189,35721,6751269
2010,Oct,2.448,70.633,3.346,2.495,190,36100,6859000
2010,Nov,2.597,61.963,3.266,2.4996,191,36481,6967871
2010,Dec,2.283,55.48,3.367,2.3712,192,36864,7077888
2011,Jan,2.546,66.918,3.39,1.744,193,37249,7189057
2011,Feb,2.535,68.038,3.161,1.978,194,37636,7301384
2011,Mar,2.72,84.334,3.59,2.3622,195,38025,7414875
2011,Apr,2.296,81.173,3.519,2.3582,196,38416,7529536
2011,May,2.771,85.391,3.675,2.2414,197,38809,7645373
2011,Jun,3.558,93.01,3.511,2.3164,198,39204,7762392
2011,Jul,2.79,89.326,3.535,2.4143,199,39601,7880599
2011,Aug,3.429,89.949,3.502,2.2816,200,40000,8000000
2011,Sep,2.328,76.134,3.312,2.3504,201,40401,8120601
2011,Oct,2.73,67.334,3.428,2.2768,202,40804,8242408
2011,Nov,2.508,60.303,3.343,1.9583,203,41209,8365427
2011,Dec,2.151,52.829,3.496,2.0555,204,41616,8489664
2012,Jan,2.493,69.463,3.617,1.816,205,42025,8615125
2012,Feb,2.218,67.259,3.506,1.7706,206,42436,8741816
2012,Mar,2.788,78.959,3.804,1.623,207,42849,8869743
2012,Apr,2.602,82.236,3.632,1.5646,208,43264,8998912
2012,May,2.602,87.093,3.744,1.601,209,43681,9129329
2012,Jun,2.816,88.012,3.523,1.4395,210,44100,9261000
2012,Jul,2.893,85.4,3.498,1.5269,211,44521,9393931
2012,Aug,3.044,80.328,3.304,1.6762,212,44944,9528128
2012,Sep,2.924,71.003,3.184,1.8704,213,45369,9663597
2012,Oct,2.641,70.84,3.307,2.0578,214,45796,9800344
2012,Nov,2.347,56.506,3.264,2.1644,215,46225,9938375
2012,Dec,2.455,53.87,3.418,2.107,216,46656,10077696
2013,Jan,2.282,62.612,3.462,1.7744,217,47089,10218313
2013,Feb,1.941,66.274,3.231,1.6224,218,47524,10360232
2013,Mar,2.15,75.77,3.676,1.6968,219,47961,10503459
2013,Apr,2.217,76.396,3.622,1.7444,220,48400,10648000
2013,May,2.341,80.899,3.72,1.8552,221,48841,10793861
2013,Jun,2.694,92.091,3.489,1.8314,222,49284,10941048
2013,Jul,2.433,84.026,3.373,1.6923,223,49729,11089567
2013,Aug,2.169,78.382,3.4,1.6273,224,50176,11239424
2013,Sep,2.193,74.871,3.197,1.5519,225,50625,11390625
2013,Oct,2.284,70.011,3.338,1.5566,226,51076,11543176
2013,Nov,1.865,61.394,3.275,1.7537,227,51529,11697083
2013,Dec,2.345,53.653,3.473,1.6747,228,51984,11852352
